asset,model,n,AUC,MCC_0p5,MCC_oracle,MCC_heldout_youden,MCC_heldout_base
BNB,tcn,71,0.6907,0.2672,0.3301,0.2431,0.262
BNB,anfis,71,0.6697,0.0211,0.3016,0.2301,0.2391
BNB,har,71,0.5707,0.0,0.0086,0.0906,0.0849
BNB,garch,71,0.6303,0.0193,0.2538,0.1534,0.1686
BTC,tcn,71,0.6745,0.2307,0.308,0.2375,0.2502
BTC,anfis,71,0.6176,0.007,0.2342,0.1522,0.1613
BTC,har,71,0.5316,0.0,0.0,0.0311,0.0396
BTC,garch,71,0.6061,0.0105,0.1858,0.119,0.1477
ETH,tcn,71,0.6776,0.244,0.3046,0.2261,0.2394
ETH,anfis,71,0.6364,0.0136,0.2621,0.1858,0.2055
ETH,har,71,0.563,0.0,0.0024,0.0674,0.0778
ETH,garch,71,0.61,0.0122,0.2207,0.1367,0.1374
POOLED,tcn,213,0.681,0.2473,0.3142,0.2356,0.2506
POOLED,anfis,213,0.6413,0.0139,0.2659,0.1894,0.202
POOLED,har,213,0.5551,0.0,0.0037,0.0631,0.0674
POOLED,garch,213,0.6155,0.014,0.2201,0.1364,0.1512
