W,p,cohens_d,n,mean_a,mean_b,model_a,model_b,metric
382.0,2.83749276257038e-07,0.6879068621033053,71,0.677958009564104,0.6175834307080166,tcn,anfis,auc_post
0.0,2.429760002086979e-13,1.6482946258048465,71,0.2378984640913161,0.0069714789134602785,tcn,anfis,mcc_post
11.0,3.8794402077637597e-13,2.1959303199134963,71,0.637030516431925,0.3656320639888715,tcn,anfis,acc_post
1058.0,0.2074660174323799,0.2776173898260988,71,0.021097317427813615,-0.1413333097182163,tcn,anfis,DR
26.0,7.296842760922378e-13,-1.5978350444792857,71,0.6480821383084041,0.8408524929364802,tcn,anfis,dsi_post
186.0,3.9250187202521116e-10,-1.0530305669509226,71,0.16945769452642495,0.2632665646495114,tcn,anfis,ece_post
74.0,5.247231140310599e-12,1.0656565681630934,71,0.677958009564104,0.5315839618093503,tcn,har,auc_post
0.0,2.429760002086979e-13,2.5373586752619213,71,0.2378984640913161,0.0,tcn,har,mcc_post
913.0,0.036493110581386795,-0.2860931493845352,71,0.637030516431925,0.6667970787689097,tcn,har,acc_post
1234.0,0.8009538943217114,0.22293385402326346,71,0.021097317427813615,-0.06424576050575713,tcn,har,DR
0.0,2.429760002086979e-13,-2.9654303708846355,71,0.6480821383084041,0.9996679301171978,tcn,har,dsi_post
99.0,1.4236662752633824e-11,1.2450321921665566,71,0.16945769452642495,0.0640954937270802,tcn,har,ece_post
169.0,2.0925811847723743e-10,1.0909567909430955,71,0.677958009564104,0.6061020549213783,tcn,garch,auc_post
77.0,5.921191892017422e-12,1.7055262811791676,71,0.2378984640913161,0.010509109789433962,tcn,garch,mcc_post
930.0,0.04615392634619347,-0.27825770964945096,71,0.637030516431925,0.6662971657103112,tcn,garch,acc_post
1229.0,0.7788929849679667,0.2229467061132378,71,0.021097317427813615,-0.061472856164908767,tcn,garch,DR
4.0,2.881725348111717e-13,-2.3536904312288707,71,0.6480821383084041,0.9585538532065261,tcn,garch,dsi_post
126.0,4.0902526451914295e-11,1.1532885366094496,71,0.16945769452642495,0.07226820223674675,tcn,garch,ece_post
0.0,2.429760002086979e-13,2.687869806592985,71,0.677958009564104,0.5,tcn,majority,auc_post
0.0,2.429760002086979e-13,2.5373586752619213,71,0.2378984640913161,0.0,tcn,majority,mcc_post
913.0,0.036493110581386795,-0.2860931493845352,71,0.637030516431925,0.6667970787689097,tcn,majority,acc_post
1033.0,0.1603755007025076,0.15971608476758797,71,0.021097317427813615,0.0,tcn,majority,DR
0.0,2.429760002086979e-13,-2.9683273320922945,71,0.6480821383084041,1.0,tcn,majority,dsi_post
128.0,4.4187168970351144e-11,-1.2405222111373915,71,0.16945769452642495,0.3332029212310902,tcn,majority,ece_post
48.0,1.819017816862587e-12,1.5933405806386702,71,0.6175834307080166,0.5,anfis,majority,auc_post
908.0,0.14902746522989613,0.0762066700391212,71,0.0069714789134602785,0.0,anfis,majority,mcc_post
0.0,2.4289436458683283e-13,-1.984813812882458,71,0.3656320639888715,0.6667970787689097,anfis,majority,acc_post
1072.0,0.3183777387457579,-0.25642776927624916,71,-0.1413333097182163,0.0,anfis,majority,DR
0.0,2.429760002086979e-13,-1.9449343520132714,71,0.8408524929364802,1.0,anfis,majority,dsi_post
613.0,0.00013877533578071177,-0.49891343346190564,71,0.2632665646495114,0.3332029212310902,anfis,majority,ece_post
