W,p,cohens_d,n,mean_a,mean_b,model_a,model_b,metric
523.0,1.5182346964542476e-05,0.5804506300871736,71,0.6850131986574747,0.636439584006998,tcn,anfis,auc_post
19.0,5.438634666872688e-13,1.714069608803904,71,0.2542874594076724,0.01357934543290252,tcn,anfis,mcc_post
1.0,2.535751594055008e-13,2.631655981531088,71,0.658145991332611,0.3685228655885933,tcn,anfis,acc_post
1097.0,0.2996891214943904,0.24940088287276735,71,0.00376023292398409,-0.15523562014860637,tcn,anfis,DR
9.0,3.564090462723507e-13,-1.8269312207082866,71,0.6180659960254292,0.8423844520254171,tcn,anfis,dsi_post
85.0,8.160888670865345e-12,-1.5051494630612667,71,0.15304756645887108,0.2607316707798523,tcn,anfis,ece_post
87.0,8.839539858835888e-12,1.1274302063186106,71,0.6850131986574747,0.5629986129735541,tcn,har,auc_post
0.0,2.429760002086979e-13,2.249733508205618,71,0.2542874594076724,0.0,tcn,har,mcc_post
1113.0,0.3444430087040198,-0.07601242263911288,71,0.658145991332611,0.665319074943488,tcn,har,acc_post
1089.0,0.2788355113697527,0.22530835035790972,71,0.00376023292398409,-0.0636833173053265,tcn,har,DR
0.0,2.429760002086979e-13,-2.9351444583881396,71,0.6180659960254292,0.9994140362797999,tcn,har,dsi_post
125.0,3.935103494842315e-11,1.1276017754550907,71,0.15304756645887108,0.06341391882460497,tcn,har,ece_post
139.0,6.742186845533223e-11,1.1661725466193853,71,0.6850131986574747,0.6099641713720443,tcn,garch,auc_post
22.0,6.169912329398491e-13,1.9542610524956288,71,0.2542874594076724,0.012237153077441451,tcn,garch,mcc_post
1164.0,0.5136265214906658,-0.04346109682088884,71,0.658145991332611,0.6620370370370371,tcn,garch,acc_post
1125.0,0.3806686859163191,0.19540532442480105,71,0.00376023292398409,-0.05042246391775835,tcn,garch,DR
6.0,3.1377120660683526e-13,-2.2707709694269145,71,0.6180659960254292,0.9309898002941399,tcn,garch,dsi_post
244.0,3.1296273722221307e-09,0.9245260810616492,71,0.15304756645887108,0.07810539100678861,tcn,garch,ece_post
0.0,2.429760002086979e-13,2.5391407069456537,71,0.6850131986574747,0.5,tcn,majority,auc_post
0.0,2.429760002086979e-13,2.249733508205618,71,0.2542874594076724,0.0,tcn,majority,mcc_post
1113.0,0.3444430087040198,-0.07601242263911288,71,0.658145991332611,0.665319074943488,tcn,majority,acc_post
1205.0,0.6757438608348889,0.026800634690977675,71,0.00376023292398409,0.0,tcn,majority,DR
0.0,2.429760002086979e-13,-2.9365666614716575,71,0.6180659960254292,1.0,tcn,majority,dsi_post
57.0,2.631302279720464e-12,-1.463967528978203,71,0.15304756645887108,0.33468092505651187,tcn,majority,ece_post
16.0,4.792638531311954e-13,1.6783258995411126,71,0.636439584006998,0.5,anfis,majority,auc_post
1003.0,0.22144509547630786,0.15812352719976955,71,0.01357934543290252,0.0,anfis,majority,mcc_post
4.0,2.8814045610801663e-13,-2.027826798580376,71,0.3685228655885933,0.665319074943488,anfis,majority,acc_post
1074.0,0.24244935880021823,-0.2750539968976729,71,-0.15523562014860637,0.0,anfis,majority,DR
0.0,2.429760002086979e-13,-2.8401601840771393,71,0.8423844520254171,1.0,anfis,majority,dsi_post
587.0,7.516455081768483e-05,-0.5362065310452924,71,0.2607316707798523,0.33468092505651187,anfis,majority,ece_post
